Level,Deployment,StartTime,EndTime,Notes,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdgv_m_glider_instrument,D00001,2014-04-16T14:40:00Z,2014-04-16T14:52:04Z,0 days 00:12:04,,,check: difference between deploy start date and data file start date,friedrich,2017-06-08T00:00:00Z
ctdgv_m_glider_instrument,D00001,2014-05-01T23:56:25Z,2014-05-02T00:00:00Z,0 days 00:03:35,,,check: difference between deploy end date and data file end date,friedrich,2017-06-08T00:00:00Z
ctdgv_m_glider_instrument,D00002,2015-01-11T17:16:00Z,2015-01-11T17:18:56Z,0 days 00:02:56,,,check: difference between deploy start date and data file start date,friedrich,2017-06-08T00:00:00Z
ctdgv_m_glider_instrument,D00003,2015-10-14T01:19:00Z,2015-10-14T01:26:29Z,0 days 00:07:29,,,check: difference between deploy start date and data file start date,friedrich,2017-06-08T00:00:00Z
ctdgv_m_glider_instrument,D00005,2017-04-19T00:00:00Z,2017-04-19T19:28:21Z,0 days 19:28:21,,,check: difference between deploy start date and data file start date,friedrich,2017-06-08T00:00:00Z
ctdgv_m_glider_instrument,D00005,2017-04-19T00:00:00Z,None,,,,check: no deployment end date in asset management,friedrich,2017-06-08T00:00:00Z
