Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,Leila,2017-05-09T00:00:00Z
practical_salinity,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-09T00:00:00Z
practical_salinity,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Global Range QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
practical_salinity,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Spike QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
practical_salinity,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
temperature,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,Leila,2017-05-09T00:00:00Z
temperature,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-09T00:00:00Z
temperature,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Global Range QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
temperature,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Spike QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
temperature,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
density,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,Leila,2017-05-09T00:00:00Z
density,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-09T00:00:00Z
density,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Global Range QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
density,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Spike QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
density,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_seawater_pressure,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_seawater_pressure,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_seawater_pressure,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Global Range QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_seawater_pressure,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Spike QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_seawater_pressure,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_seawater_temperature,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_seawater_temperature,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_seawater_temperature,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Global Range QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_seawater_temperature,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Spike QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_seawater_temperature,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_seawater_conductivity,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_seawater_conductivity,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_seawater_conductivity,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Global Range QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_seawater_conductivity,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Spike QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_seawater_conductivity,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
pressure,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,Leila,2017-05-09T00:00:00Z
pressure,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-09T00:00:00Z
pressure,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Global Range QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
pressure,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Spike QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
pressure,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
conductivity,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,Leila,2017-05-09T00:00:00Z
conductivity,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-09T00:00:00Z
conductivity,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Global Range QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
conductivity,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Spike QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
conductivity,D00001,2013-11-23T16:00:03Z,2013-11-24T20:28:32Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
practical_salinity,D00002,2014-04-14T20:00:03Z,2014-04-14T20:30:01Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,Leila,2017-05-09T00:00:00Z
practical_salinity,D00002,2014-04-14T20:00:03Z,2014-04-14T20:30:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-09T00:00:00Z
practical_salinity,D00002,2014-04-14T20:00:03Z,2014-04-14T20:30:01Z,applies to one file,Global Range QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
practical_salinity,D00002,2014-04-14T20:00:03Z,2014-04-14T20:30:01Z,applies to one file,Spike QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
practical_salinity,D00002,2014-04-14T20:00:03Z,2014-04-14T20:30:01Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
temperature,D00002,2014-04-14T20:00:03Z,2014-04-14T20:30:01Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,Leila,2017-05-09T00:00:00Z
temperature,D00002,2014-04-14T20:00:03Z,2014-04-14T20:30:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-09T00:00:00Z
temperature,D00002,2014-04-14T20:00:03Z,2014-04-14T20:30:01Z,applies to one file,Global Range QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
temperature,D00002,2014-04-14T20:00:03Z,2014-04-14T20:30:01Z,applies to one file,Spike QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
temperature,D00002,2014-04-14T20:00:03Z,2014-04-14T20:30:01Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
density,D00002,2014-04-14T20:00:03Z,2014-04-14T20:30:01Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,Leila,2017-05-09T00:00:00Z
density,D00002,2014-04-14T20:00:03Z,2014-04-14T20:30:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-09T00:00:00Z
density,D00002,2014-04-14T20:00:03Z,2014-04-14T20:30:01Z,applies to one file,Global Range QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
density,D00002,2014-04-14T20:00:03Z,2014-04-14T20:30:01Z,applies to one file,Spike QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
density,D00002,2014-04-14T20:00:03Z,2014-04-14T20:30:01Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_seawater_pressure,D00002,2014-04-14T20:00:03Z,2014-04-14T20:30:01Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,Leila,2017-05-09T00:00:00Z
ctdpf_ckl_seawater_pressure,D00002,2014-04-14T20:00:03Z,2014-04-14T20:30:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,Leila,2017-05-09T00:00:00Z
