Level,Deployment,StartTime,EndTime,Notes,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdmo_ghqr_sio_mule_instrument,D00001,2015-03-21T02:30:00Z,2015-03-21T04:00:01Z,0 days 01:30:01,,,check: difference between deploy start date and data file start date,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00002,2015-11-21T21:51:00Z,2015-11-22T00:00:01Z,0 days 02:09:01,,,check: difference between deploy start date and data file start date,lori,2017-08-17T00:00:00Z
