Level,Deployment,StartTime,EndTime,Notes,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdbp_cdef_dcl_instrument,D00002,2015-05-09T01:04:00Z,2015-05-09T19:05:06Z,0 days 18:01:06,,,check: difference between deploy start date and data file start date,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2015-10-22T19:38:00Z,2015-10-22T20:02:08Z,0 days 00:24:08,,,check: difference between deploy start date and data file start date,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00004,2016-05-27T15:50:00Z,2016-05-27T20:02:09Z,0 days 04:12:09,,,check: difference between deploy start date and data file start date,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00005,2016-10-12T14:26:00Z,2016-10-12T15:00:12Z,0 days 00:34:12,,,check: difference between deploy start date and data file start date,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00005,2016-10-12T14:26:00Z,None,,,,check: no deployment end date in asset management,friedrich,2017-06-08T00:00:00Z
