Level,Deployment,StartTime,EndTime,Notes,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdbp_cdef_dcl_instrument,D00001,2015-03-15T21:25:00Z,2015-03-15T21:30:05Z,0 days 00:05:05,,,check: difference between deploy start date and data file start date,lori,
ctdbp_cdef_dcl_instrument,D00002,2016-11-08T00:08:11Z,2016-11-08T10:10:00Z,0 days 10:01:49,,,check: difference between deploy end date and data file end date,lori,
ctdbp_cdef_dcl_instrument,D00003,2016-10-27T01:47:00Z,2016-10-27T02:00:09Z,0 days 00:13:09,,,check: difference between deploy start date and data file start date,lori,
ctdbp_cdef_dcl_instrument,D00003,2016-10-27T01:47:00Z,None,,,,check: no deployment end date in asset management,lori,
