Level,Deployment,StartTime,EndTime,Notes,Status,Redmine#,Todo,reviewed_by
ctdpf_sbe43_sample,D00001,2015-07-08T19:06:45Z,2015-07-09T00:00:00Z,0 days 04:53:15,,,check: difference between deploy end date and data file end date,friedrich
ctdpf_sbe43_sample,D00002,2016-07-13T02:23:01Z,2016-07-14T00:00:00Z,0 days 21:36:59,,,check: difference between deploy end date and data file end date,friedrich
ctdpf_sbe43_sample,D00003,2016-07-14T21:18:00Z,2016-07-14T21:18:00Z,0 days 00:00:00,,,check: difference between deploy start date and data file start date,friedrich
ctdpf_sbe43_sample,D00003,2016-07-14T21:18:00Z,None,,,,check: no deployment end date in asset management,friedrich
