Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
temp,,,,,,,,lori,2017-08-15T00:00:00Z
pressure,,,,,,,,lori,2017-08-15T00:00:00Z
density,,,,,,,,lori,2017-08-15T00:00:00Z
practical_salinity,,,,,,,,lori,2017-08-15T00:00:00Z
serial_number,,,,,,,,lori,2017-08-15T00:00:00Z
conductivity,,,,,,,,lori,2017-08-15T00:00:00Z
