Level,Deployment,StartTime,EndTime,Notes,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdbp_p_dcl_instrument,D00002,2015-12-14T20:20:00Z,2015-12-15T01:00:03Z,0 days 04:40:03,,,check: difference between deploy start date and data file start date,lori,2017-08-15T00:00:00Z
ctdbp_p_dcl_instrument,D00003,2016-11-25T01:11:00Z,2016-11-25T02:00:03Z,0 days 00:49:03,,,check: difference between deploy start date and data file start date,lori,2017-08-15T00:00:00Z
ctdbp_p_dcl_instrument,D00003,2016-11-25T01:11:00Z,None,,,,check: no deployment end date in asset management,lori,2017-08-15T00:00:00Z
