Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
temp,D00005,2016-05-13T14:02:09Z,2016-08-08T18:02:09Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-27T00:00:00Z
density,D00005,2016-05-13T14:02:09Z,2016-08-08T18:02:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-27T00:00:00Z
pressure,D00005,2016-05-13T14:02:09Z,2016-08-08T18:02:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-04-27T00:00:00Z
pressure,D00005,2016-05-13T14:02:09Z,2016-08-08T18:02:09Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-27T00:00:00Z
conductivity,D00005,2016-05-13T14:02:09Z,2016-08-08T18:02:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-04-27T00:00:00Z
conductivity,D00005,2016-05-13T14:02:09Z,2016-08-08T18:02:09Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-27T00:00:00Z
practical_salinity,D00006,2016-10-13T19:00:12Z,2017-01-18T00:00:11Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-27T00:00:00Z
temp,D00006,2016-10-13T19:00:12Z,2017-01-18T00:00:11Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-04-27T00:00:00Z
temp,D00006,2016-10-13T19:00:12Z,2017-01-18T00:00:11Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-27T00:00:00Z
density,D00006,2016-10-13T19:00:12Z,2017-01-18T00:00:11Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-27T00:00:00Z
pressure,D00006,2016-10-13T19:00:12Z,2017-01-18T00:00:11Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-04-27T00:00:00Z
pressure,D00006,2016-10-13T19:00:12Z,2017-01-18T00:00:11Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-27T00:00:00Z
conductivity,D00006,2016-10-13T19:00:12Z,2017-01-18T00:00:11Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-04-27T00:00:00Z
conductivity,D00006,2016-10-13T19:00:12Z,2017-01-18T00:00:11Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-27T00:00:00Z
